equipment,latitude,longitude,address,bus_lane,bike_lane,parking_lane,number_lanes,Radar nos 2 sentidos da via,endereço alterado,revisados
FS634JOI,-26.30474,-48.82821,"Rua Pref. Helmuth Fallgatter, 791",0,1,0,2,-,-,ok
FS635JOI,-26.29437,-48.81715,"Rua Pref. Helmuth Fallgatter, 2400",0,1,0,2,-,-,ok
FS636JOI,-26.34397,-48.79379,"Rua Monsenhor Gercino , 6675",0,1,0,1,x,-,ok
FS637JOI,-26.37948,-48.82497,"Rua Waldemiro José Borges, 3528",0,1,0,1,x,-,ok
FS638JOI,-26.28697,-48.91079,"Rua XV de Novembro, 7800",0,1,0,2,-,-,ok
FS639JOI,-26.29002,-48.81209,"Rua Albano Schmidt, 3200",0,1,0,2,-,-,ok
FS640JOI,-26.33509,-48.8168,"Rua Fátima, 542",0,0,0,1,x,-,ok
FS641JOI,-26.28533,-48.81048,"Rua Pref. Helmuth Fallgatter, 3675",0,1,0,2,-,-,ok
FS642JOI,-26.30914,-48.84296,"Rua São Paulo, 200",1,0,0,2,-,-,ok
FS643JOI,-26.25956,-48.84651,"Rua Tenente Antônio João, 1937",0,1,0,2,-,-,ok
FS644JOI,-26.28445,-48.85526,Rua Benjamin Constant 650,0,1,0,1,-,-,ok
FS645JOI,-26.26871,-48.85593,"Rua Dona Francisca, 4565",0,1,0,1,-,-,ok
FS646JOI,-26.32101,-48.81357,"Rua Guanabara, 3675",0,1,0,2,-,-,ok
FS647JOI,-26.27927,-48.84741,"Av. Marcos Wehmuth, 2979",0,0,1,2,-,-,ok
FS648JOI,"-26,28434","-48,84914",Dr. João Colin x Benjamin Constant,1,0,0,2,-,-,ok
FS649JOI,-26.33829,-48.80539,Rua Monsenhor Gercino X Rua Jarivatuba,0,0,0,1,-,-,ok
FS650JOI,-26.31468,-48.86154,Rua Ottokar Doerffel X Rua Marquês de Olinda (R. Otto Parucker),0,0,0,1,-,-,
FS651JOI,-26.26892,-48.84537,"Rua Tenente Antônio João, 826",0,1,0,2,-,-,
FS652JOI,-26.24187,-48.81944,"Rua Tuiutí, 3800",0,1,0,1,x,-,
FS653JOI,-26.28913,-48.86434,"Rua Marquês de Olinda, 2841",0,0,1,1,x,-,
FS654JOI,-26.35045,-48.83134,"Av. Paulo Schroeder, próx. 2100",0,0,1,2,-,-,
FS655JOI,"-26,2745","-48,85019",Dr. João Colin x Presidente Prudente Moraes,1,0,0,2,-,-,
FS661JOI,-26.36438,-48.82948,"Rua Adolfo da Veiga, 400",0,1,0,1,-,-,
FS661JOI,-26.36438,-48.82948,"Rua Adolfo da Veiga, 400",0,1,0,1,-,-,
